Stationname,Latitude,Longitude,neighborhood
Airport,42.3745013031163,-71.0301812577942,East Boston
Aquarium,42.3601713745465,-71.0527929875714,Downtown
Beachmont,42.3981206421350,-70.9926487796101,Revere
Bowdoin,42.3619354547228,-71.0619512029131,Downtown
Government Center,42.3603570918293,-71.0594452489418,Downtown
Maverick,42.3696893842688,-71.0396587796229,East Boston
Orient Heights,42.3874458275371,-71.0047493029015,East Boston
Revere Beach,42.4094991034521,-70.9920480152408,Revere
State Street,42.3594519009668,-71.0574393722290,Downtown
Suffolk Downs,42.3911028855003,-70.9972517796132,East Boston
Wonderland,42.4142941629169,-70.9917537642600,Revere
Wood Island,42.3802583869060,-71.0229433335901,East Boston
Arlington,42.3524581023635,-71.0709675642881,Back Bay
Boylston,42.3530036606762,-71.0647207489451,Beacon Hill
Copley,42.3511348138530,-71.0775878336035,Back Bay
Haymarket,42.3636256979590,-71.0581012722271,Downtown
Hynes Convention Center,42.3486721443949,-71.0876280262060,Back Bay
Kenmore,42.3498694485597,-71.0951271182614,Fenway Kenmore
Lechmere,42.3721086568568,-71.0764512875658,Cambridge
North Station,42.3672664698366,-71.0619311182535,West End
Park Street,42.3569996388221,-71.0624508642860,Beacon Hill
Prudential,42.3465212605370,-71.0813327949761,Back Bay
Riverside,42.3379203728634,-71.2526454336093,Newton
Science Park,42.3676542647470,-71.0677969489386,West End
Symphony,42.3433845030928,-71.0850131182643,Fenway Kenmore
Assembly,42.3932850856488,-71.0772171182415,Somerville
Back Bay,42.3482377547863,-71.0755553722342,Back Bay
Chinatown,42.3530311262899,-71.0626143796305,Chinatown
Community College,42.3742169387620,-71.0695677029075,Charlestown
Downtown Crossing,42.3560905078245,-71.0602200336011,Downtown
Forest Hills,42.3012583056896,-71.1137713569127,Jamaica Plain
Green Street,42.3112813317477,-71.1074100336215,Jamaica Plain
Jackson Square,42.3236793126331,-71.0999068796437,Jamaica Plain
Malden Center,42.4273189827625,-71.0743833795967,Malden
Massachusetts Ave,42.3421957162887,-71.0834629489501,Roxbury
Oak Grove,42.4373131144146,-71.0709682875362,Malden
Roxbury Crossing,42.3318781762919,-71.0953126722414,Mission Hill
Ruggles,42.3374297715469,-71.0894320336094,Fenway Kenmore
Stony Brook,42.3178966845749,-71.1042231182759,Jamaica Plain
Sullivan Square,42.3845294502422,-71.0769595335882,Charlestown
Tufts Medical Center,42.3503277095310,-71.0636595415478,Downtown
Wellington,42.4031804486656,-71.0770503104082,Somerville
Alewife,42.3963081355504,-71.1416452415269,Cambridge
Andrew,42.3306612861140,-71.0573975415567,South Boston
Ashmont,42.2852144484449,-71.0636589876053,Dorchester
Braintree,42.2080080868287,-71.0013208183255,Braintree
Broadway,42.3430949057995,-71.0569721182643,South Boston
Central,42.3659724609083,-71.1035083875687,Cambridge
Charles/MGH,42.3618236663735,-71.0704081875705,West End
Davis,42.3974369027795,-71.1218579489250,Somerville
Fields Corner,42.3007879757389,-71.0615842029409,Dorchester
Harvard,42.3740908666469,-71.1188702029077,Cambridge
JFK/Umass,42.3213023481619,-71.0525407949875,Dorchester
Kendall/MIT,42.3632466025514,-71.0858199256538,Cambridge
North Quincy,42.2759782508472,-71.0295371182948,Quincy
Porter,42.3891286920067,-71.1191490335861,Cambridge
Quincy Adams,42.2336250438261,-71.0071049876287,Quincy
Quincy Center,42.2523426890216,-71.0053191722774,Quincy
Savin Hill,42.3117713385540,-71.0533662489638,Dorchester
Shawmut,42.2938704974303,-71.0655687569161,Dorchester
South Station,42.3526508155520,-71.0551132489454,Downtown
Courthouse,42.3529253912968,-71.0470216949731,South Boston
World Trade Center,42.3497151001501,-71.0428265642894,South Boston
Wollaston,42.2672441060561,-71.0199507955576,Quincy